,trans,tx_brate,tx_pkts,dl_buffer,trans_cls,trans1,from,to,from_to,count,slice,agent,count_norm,tx_brate_norm,tx_pkts_norm,dl_buffer_norm
10,"(36, 9, 5, 2, 2, 0, 24, 15, 11, 0, 1, 0)",0.01,-43.18,-41.58,distinct," 36, 9, 5, 2, 2, 0, 24, 15, 11, 0, 1, 0","[' 36', ' 9', ' 5', ' 2', ' 2', ' 0']","[' 24', ' 15', ' 11', ' 0', ' 1', ' 0']","[' 36', ' 9', ' 5', ' 2', ' 2', ' 0', ' 24', ' 15', ' 11', ' 0', ' 1', ' 0']",1,sl0,embb-trf2,0.09999999999999998,2.6,0.14486880919111944,0.7686624988993572
11,"(30, 15, 5, 2, 2, 0, 36, 9, 5, 0, 2, 2)",-0.03,11.66,-13.69,distinct," 30, 15, 5, 2, 2, 0, 36, 9, 5, 0, 2, 2","[' 30', ' 15', ' 5', ' 2', ' 2', ' 0']","[' 36', ' 9', ' 5', ' 0', ' 2', ' 2']","[' 30', ' 15', ' 5', ' 2', ' 2', ' 0', ' 36', ' 9', ' 5', ' 0', ' 2', ' 2']",1,sl0,embb-trf2,0.09999999999999998,0.6000000000000002,0.9962893960565129,1.0142379149423264
12,"(36, 9, 5, 0, 2, 2, 36, 9, 5, 0, 2, 0)",0.02,12.55,-76.2,same-prbs," 36, 9, 5, 0, 2, 2, 36, 9, 5, 0, 2, 0","[' 36', ' 9', ' 5', ' 0', ' 2', ' 2']","[' 36', ' 9', ' 5', ' 0', ' 2', ' 0']","[' 36', ' 9', ' 5', ' 0', ' 2', ' 2', ' 36', ' 9', ' 5', ' 0', ' 2', ' 0']",1,sl0,embb-trf2,0.09999999999999998,3.1,1.0101071262226364,0.4638284758298846
13,"(18, 9, 23, 2, 2, 1, 30, 15, 5, 0, 2, 2)",0.0,14.25,-29.76,distinct," 18, 9, 23, 2, 2, 1, 30, 15, 5, 0, 2, 2","[' 18', ' 9', ' 23', ' 2', ' 2', ' 1']","[' 30', ' 15', ' 5', ' 0', ' 2', ' 2']","[' 18', ' 9', ' 23', ' 2', ' 2', ' 1', ' 30', ' 15', ' 5', ' 0', ' 2', ' 2']",1,sl0,embb-trf2,0.09999999999999998,2.1,1.036500543393883,0.8727392797393677
14,"(30, 9, 11, 2, 2, 0, 30, 15, 5, 1, 1, 0)",0.0,-23.15,-34.66,distinct," 30, 9, 11, 2, 2, 0, 30, 15, 5, 1, 1, 0","[' 30', ' 9', ' 11', ' 2', ' 2', ' 0']","[' 30', ' 15', ' 5', ' 1', ' 1', ' 0']","[' 30', ' 9', ' 11', ' 2', ' 2', ' 0', ' 30', ' 15', ' 5', ' 1', ' 1', ' 0']",1,sl0,embb-trf2,0.09999999999999998,2.1,0.45584536562645556,0.8295940829444396
15,"(36, 3, 11, 1, 2, 2, 36, 3, 11, 1, 2, 2)",0.0,0.0,0.0,self," 36, 3, 11, 1, 2, 2, 36, 3, 11, 1, 2, 2","[' 36', ' 3', ' 11', ' 1', ' 2', ' 2']","[' 36', ' 3', ' 11', ' 1', ' 2', ' 2']","[' 36', ' 3', ' 11', ' 1', ' 2', ' 2', ' 36', ' 3', ' 11', ' 1', ' 2', ' 2']",2,sl0,embb-trf2,0.6000000000000001,2.1,0.8152616053407857,1.134780311702034
16,"(36, 3, 11, 1, 2, 2, 36, 3, 11, 1, 2, 2)",0.0,0.0,0.0,self," 36, 3, 11, 1, 2, 2, 36, 3, 11, 1, 2, 2","[' 36', ' 3', ' 11', ' 1', ' 2', ' 2']","[' 36', ' 3', ' 11', ' 1', ' 2', ' 2']","[' 36', ' 3', ' 11', ' 1', ' 2', ' 2', ' 36', ' 3', ' 11', ' 1', ' 2', ' 2']",2,sl0,embb-trf2,0.6000000000000001,2.1,0.8152616053407857,1.134780311702034
17,"(36, 3, 11, 1, 2, 2, 36, 3, 11, 0, 1, 0)",0.01,1.49,67.81,same-prbs," 36, 3, 11, 1, 2, 2, 36, 3, 11, 0, 1, 0","[' 36', ' 3', ' 11', ' 1', ' 2', ' 2']","[' 36', ' 3', ' 11', ' 0', ' 1', ' 0']","[' 36', ' 3', ' 11', ' 1', ' 2', ' 2', ' 36', ' 3', ' 11', ' 0', ' 1', ' 0']",1,sl0,embb-trf2,0.09999999999999998,2.6,0.8383946592144077,1.7318570044906227
18,"(36, 3, 11, 1, 2, 2, 36, 3, 11, 2, 0, 1)",-0.01,2.62,-4.56,same-prbs," 36, 3, 11, 1, 2, 2, 36, 3, 11, 2, 0, 1","[' 36', ' 3', ' 11', ' 1', ' 2', ' 2']","[' 36', ' 3', ' 11', ' 2', ' 0', ' 1']","[' 36', ' 3', ' 11', ' 1', ' 2', ' 2', ' 36', ' 3', ' 11', ' 2', ' 0', ' 1']",1,sl0,embb-trf2,0.09999999999999998,1.6,0.8559385188635306,1.0946288632561416
19,"(36, 3, 11, 2, 0, 1, 36, 3, 11, 1, 2, 2)",0.01,-2.62,4.56,same-prbs," 36, 3, 11, 2, 0, 1, 36, 3, 11, 1, 2, 2","[' 36', ' 3', ' 11', ' 2', ' 0', ' 1']","[' 36', ' 3', ' 11', ' 1', ' 2', ' 2']","[' 36', ' 3', ' 11', ' 2', ' 0', ' 1', ' 36', ' 3', ' 11', ' 1', ' 2', ' 2']",1,sl0,embb-trf2,0.09999999999999998,2.6,0.7745846918180407,1.1749317601479263
